date,ticker,weight,universe,method
2021-01-04,ABBV,0.02,Equity,Equal-weight (1/N)
2021-01-04,ABT,0.02,Equity,Equal-weight (1/N)
2021-01-04,ADBE,0.02,Equity,Equal-weight (1/N)
2021-01-04,AEP,0.02,Equity,Equal-weight (1/N)
2021-01-04,AMD,0.02,Equity,Equal-weight (1/N)
2021-01-04,AMGN,0.02,Equity,Equal-weight (1/N)
2021-01-04,AMT,0.02,Equity,Equal-weight (1/N)
2021-01-04,BA,0.02,Equity,Equal-weight (1/N)
2021-01-04,CAT,0.02,Equity,Equal-weight (1/N)
2021-01-04,CCI,0.02,Equity,Equal-weight (1/N)
2021-01-04,CMCSA,0.02,Equity,Equal-weight (1/N)
2021-01-04,COP,0.02,Equity,Equal-weight (1/N)
2021-01-04,CVX,0.02,Equity,Equal-weight (1/N)
2021-01-04,D,0.02,Equity,Equal-weight (1/N)
2021-01-04,DD,0.02,Equity,Equal-weight (1/N)
2021-01-04,DIS,0.02,Equity,Equal-weight (1/N)
2021-01-04,DOW,0.02,Equity,Equal-weight (1/N)
2021-01-04,DUK,0.02,Equity,Equal-weight (1/N)
2021-01-04,EA,0.02,Equity,Equal-weight (1/N)
2021-01-04,GE,0.02,Equity,Equal-weight (1/N)
2021-01-04,GILD,0.02,Equity,Equal-weight (1/N)
2021-01-04,GS,0.02,Equity,Equal-weight (1/N)
2021-01-04,INTC,0.02,Equity,Equal-weight (1/N)
2021-01-04,KO,0.02,Equity,Equal-weight (1/N)
2021-01-04,MMM,0.02,Equity,Equal-weight (1/N)
2021-01-04,MRK,0.02,Equity,Equal-weight (1/N)
2021-01-04,MS,0.02,Equity,Equal-weight (1/N)
2021-01-04,NEE,0.02,Equity,Equal-weight (1/N)
2021-01-04,NEM,0.02,Equity,Equal-weight (1/N)
2021-01-04,NKE,0.02,Equity,Equal-weight (1/N)
2021-01-04,NUE,0.02,Equity,Equal-weight (1/N)
2021-01-04,NVDA,0.02,Equity,Equal-weight (1/N)
2021-01-04,O,0.02,Equity,Equal-weight (1/N)
2021-01-04,OXY,0.02,Equity,Equal-weight (1/N)
2021-01-04,PLD,0.02,Equity,Equal-weight (1/N)
2021-01-04,PSA,0.02,Equity,Equal-weight (1/N)
2021-01-04,QCOM,0.02,Equity,Equal-weight (1/N)
2021-01-04,SBUX,0.02,Equity,Equal-weight (1/N)
2021-01-04,SHW,0.02,Equity,Equal-weight (1/N)
2021-01-04,SLB,0.02,Equity,Equal-weight (1/N)
2021-01-04,SO,0.02,Equity,Equal-weight (1/N)
2021-01-04,T,0.02,Equity,Equal-weight (1/N)
2021-01-04,TMUS,0.02,Equity,Equal-weight (1/N)
2021-01-04,TTWO,0.02,Equity,Equal-weight (1/N)
2021-01-04,UPS,0.02,Equity,Equal-weight (1/N)
2021-01-04,USB,0.02,Equity,Equal-weight (1/N)
2021-01-04,V,0.02,Equity,Equal-weight (1/N)
2021-01-04,WFC,0.02,Equity,Equal-weight (1/N)
2021-01-04,WMT,0.02,Equity,Equal-weight (1/N)
2021-01-04,XOM,0.02,Equity,Equal-weight (1/N)
2021-02-01,ABBV,0.02,Equity,Equal-weight (1/N)
2021-02-01,ABT,0.02,Equity,Equal-weight (1/N)
2021-02-01,ADBE,0.02,Equity,Equal-weight (1/N)
2021-02-01,AEP,0.02,Equity,Equal-weight (1/N)
2021-02-01,AMD,0.02,Equity,Equal-weight (1/N)
2021-02-01,AMGN,0.02,Equity,Equal-weight (1/N)
2021-02-01,AMT,0.02,Equity,Equal-weight (1/N)
2021-02-01,BA,0.02,Equity,Equal-weight (1/N)
2021-02-01,CAT,0.02,Equity,Equal-weight (1/N)
2021-02-01,CCI,0.02,Equity,Equal-weight (1/N)
2021-02-01,CMCSA,0.02,Equity,Equal-weight (1/N)
2021-02-01,COP,0.02,Equity,Equal-weight (1/N)
2021-02-01,CVX,0.02,Equity,Equal-weight (1/N)
2021-02-01,D,0.02,Equity,Equal-weight (1/N)
2021-02-01,DD,0.02,Equity,Equal-weight (1/N)
2021-02-01,DIS,0.02,Equity,Equal-weight (1/N)
2021-02-01,DOW,0.02,Equity,Equal-weight (1/N)
2021-02-01,DUK,0.02,Equity,Equal-weight (1/N)
2021-02-01,EA,0.02,Equity,Equal-weight (1/N)
2021-02-01,GE,0.02,Equity,Equal-weight (1/N)
2021-02-01,GILD,0.02,Equity,Equal-weight (1/N)
2021-02-01,GS,0.02,Equity,Equal-weight (1/N)
2021-02-01,INTC,0.02,Equity,Equal-weight (1/N)
2021-02-01,KO,0.02,Equity,Equal-weight (1/N)
2021-02-01,MMM,0.02,Equity,Equal-weight (1/N)
2021-02-01,MRK,0.02,Equity,Equal-weight (1/N)
2021-02-01,MS,0.02,Equity,Equal-weight (1/N)
2021-02-01,NEE,0.02,Equity,Equal-weight (1/N)
2021-02-01,NEM,0.02,Equity,Equal-weight (1/N)
2021-02-01,NKE,0.02,Equity,Equal-weight (1/N)
2021-02-01,NUE,0.02,Equity,Equal-weight (1/N)
2021-02-01,NVDA,0.02,Equity,Equal-weight (1/N)
2021-02-01,O,0.02,Equity,Equal-weight (1/N)
2021-02-01,OXY,0.02,Equity,Equal-weight (1/N)
2021-02-01,PLD,0.02,Equity,Equal-weight (1/N)
2021-02-01,PSA,0.02,Equity,Equal-weight (1/N)
2021-02-01,QCOM,0.02,Equity,Equal-weight (1/N)
2021-02-01,SBUX,0.02,Equity,Equal-weight (1/N)
2021-02-01,SHW,0.02,Equity,Equal-weight (1/N)
2021-02-01,SLB,0.02,Equity,Equal-weight (1/N)
2021-02-01,SO,0.02,Equity,Equal-weight (1/N)
2021-02-01,T,0.02,Equity,Equal-weight (1/N)
2021-02-01,TMUS,0.02,Equity,Equal-weight (1/N)
2021-02-01,TTWO,0.02,Equity,Equal-weight (1/N)
2021-02-01,UPS,0.02,Equity,Equal-weight (1/N)
2021-02-01,USB,0.02,Equity,Equal-weight (1/N)
2021-02-01,V,0.02,Equity,Equal-weight (1/N)
2021-02-01,WFC,0.02,Equity,Equal-weight (1/N)
2021-02-01,WMT,0.02,Equity,Equal-weight (1/N)
2021-02-01,XOM,0.02,Equity,Equal-weight (1/N)
2021-03-01,ABBV,0.02,Equity,Equal-weight (1/N)
2021-03-01,ABT,0.02,Equity,Equal-weight (1/N)
2021-03-01,ADBE,0.02,Equity,Equal-weight (1/N)
2021-03-01,AEP,0.02,Equity,Equal-weight (1/N)
2021-03-01,AMD,0.02,Equity,Equal-weight (1/N)
2021-03-01,AMGN,0.02,Equity,Equal-weight (1/N)
2021-03-01,AMT,0.02,Equity,Equal-weight (1/N)
2021-03-01,BA,0.02,Equity,Equal-weight (1/N)
2021-03-01,CAT,0.02,Equity,Equal-weight (1/N)
2021-03-01,CCI,0.02,Equity,Equal-weight (1/N)
2021-03-01,CMCSA,0.02,Equity,Equal-weight (1/N)
2021-03-01,COP,0.02,Equity,Equal-weight (1/N)
2021-03-01,CVX,0.02,Equity,Equal-weight (1/N)
2021-03-01,D,0.02,Equity,Equal-weight (1/N)
2021-03-01,DD,0.02,Equity,Equal-weight (1/N)
2021-03-01,DIS,0.02,Equity,Equal-weight (1/N)
2021-03-01,DOW,0.02,Equity,Equal-weight (1/N)
2021-03-01,DUK,0.02,Equity,Equal-weight (1/N)
2021-03-01,EA,0.02,Equity,Equal-weight (1/N)
2021-03-01,GE,0.02,Equity,Equal-weight (1/N)
2021-03-01,GILD,0.02,Equity,Equal-weight (1/N)
2021-03-01,GS,0.02,Equity,Equal-weight (1/N)
2021-03-01,INTC,0.02,Equity,Equal-weight (1/N)
2021-03-01,KO,0.02,Equity,Equal-weight (1/N)
2021-03-01,MMM,0.02,Equity,Equal-weight (1/N)
2021-03-01,MRK,0.02,Equity,Equal-weight (1/N)
2021-03-01,MS,0.02,Equity,Equal-weight (1/N)
2021-03-01,NEE,0.02,Equity,Equal-weight (1/N)
2021-03-01,NEM,0.02,Equity,Equal-weight (1/N)
2021-03-01,NKE,0.02,Equity,Equal-weight (1/N)
2021-03-01,NUE,0.02,Equity,Equal-weight (1/N)
2021-03-01,NVDA,0.02,Equity,Equal-weight (1/N)
2021-03-01,O,0.02,Equity,Equal-weight (1/N)
2021-03-01,OXY,0.02,Equity,Equal-weight (1/N)
2021-03-01,PLD,0.02,Equity,Equal-weight (1/N)
2021-03-01,PSA,0.02,Equity,Equal-weight (1/N)
2021-03-01,QCOM,0.02,Equity,Equal-weight (1/N)
2021-03-01,SBUX,0.02,Equity,Equal-weight (1/N)
2021-03-01,SHW,0.02,Equity,Equal-weight (1/N)
2021-03-01,SLB,0.02,Equity,Equal-weight (1/N)
2021-03-01,SO,0.02,Equity,Equal-weight (1/N)
2021-03-01,T,0.02,Equity,Equal-weight (1/N)
2021-03-01,TMUS,0.02,Equity,Equal-weight (1/N)
2021-03-01,TTWO,0.02,Equity,Equal-weight (1/N)
2021-03-01,UPS,0.02,Equity,Equal-weight (1/N)
2021-03-01,USB,0.02,Equity,Equal-weight (1/N)
2021-03-01,V,0.02,Equity,Equal-weight (1/N)
2021-03-01,WFC,0.02,Equity,Equal-weight (1/N)
2021-03-01,WMT,0.02,Equity,Equal-weight (1/N)
2021-03-01,XOM,0.02,Equity,Equal-weight (1/N)
